 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
 20437.000,   1,  0.48491036E+10,   0.00000000E+00,  -0.49820143E+10,  -0.30761003E+08,   0.00000000E+00,  -0.21564320E+09,   0.00000000E+00,   0.00000000E+00,  -0.12446897E-09,
 20451.000,   1,  0.49374763E+10,   0.00000000E+00,  -0.49998799E+10,  -0.30918249E+08,   0.00000000E+00,  -0.21622381E+09,   0.00000000E+00,   0.00000000E+00,  -0.18641315E-09,
 20465.000,   1,  0.51704569E+10,   0.00000000E+00,  -0.51056756E+10,  -0.31075493E+08,   0.00000000E+00,  -0.21662900E+09,   0.00000000E+00,   0.00000000E+00,  -0.29277064E-09,
 20479.000,   1,  0.54612808E+10,   0.00000000E+00,  -0.52466423E+10,  -0.31232741E+08,   0.00000000E+00,  -0.21685882E+09,   0.00000000E+00,   0.00000000E+00,  -0.77290366E-09,
 20493.000,   1,  0.56982133E+10,   0.00000000E+00,  -0.54083753E+10,  -0.31365799E+08,   0.00000000E+00,  -0.21714050E+09,   0.00000000E+00,   0.00000000E+00,   0.70001859E-09,
 20507.000,   1,  0.58812495E+10,   0.00000000E+00,  -0.55908672E+10,  -0.31474662E+08,   0.00000000E+00,  -0.21755176E+09,   0.00000000E+00,   0.00000000E+00,   0.19113392E-08,
 20521.000,   1,  0.61048570E+10,   0.00000000E+00,  -0.57609476E+10,  -0.31631912E+08,   0.00000000E+00,  -0.21813585E+09,   0.00000000E+00,   0.00000000E+00,   0.90162131E-09,
 20535.000,   1,  0.63690338E+10,   0.00000000E+00,  -0.59186191E+10,  -0.31837544E+08,   0.00000000E+00,  -0.21915191E+09,   0.00000000E+00,   0.00000000E+00,   0.32805566E-09,
 20549.000,   1,  0.66236505E+10,   0.00000000E+00,  -0.60730001E+10,  -0.32060457E+08,   0.00000000E+00,  -0.22019477E+09,   0.00000000E+00,   0.00000000E+00,   0.83616080E-10,
 20563.000,   1,  0.68543683E+10,   0.00000000E+00,  -0.62191552E+10,  -0.32326568E+08,   0.00000000E+00,  -0.22158581E+09,   0.00000000E+00,   0.00000000E+00,   0.13005811E-09,
 20577.000,   1,  0.70885401E+10,   0.00000000E+00,  -0.63751959E+10,  -0.32614282E+08,   0.00000000E+00,  -0.22297685E+09,   0.00000000E+00,   0.00000000E+00,   0.32282290E-09,
 20591.000,   1,  0.73423190E+10,   0.00000000E+00,  -0.65873739E+10,  -0.33024679E+08,   0.00000000E+00,  -0.22642338E+09,   0.00000000E+00,   0.00000000E+00,   0.24959672E-09,
 20605.000,   1,  0.75954216E+10,   0.00000000E+00,  -0.67998836E+10,  -0.33441419E+08,   0.00000000E+00,  -0.23002802E+09,   0.00000000E+00,   0.00000000E+00,   0.24654537E-09,
 20619.000,   1,  0.78182399E+10,   0.00000000E+00,  -0.70099107E+10,  -0.34060626E+08,   0.00000000E+00,  -0.23759865E+09,   0.00000000E+00,   0.00000000E+00,   0.17985916E-09,
 20633.000,   1,  0.80377845E+10,   0.00000000E+00,  -0.72196696E+10,  -0.34701721E+08,   0.00000000E+00,  -0.24675542E+09,   0.00000000E+00,   0.00000000E+00,   0.18090791E-09,
 20647.000,   1,  0.81585636E+10,   0.00000000E+00,  -0.73617126E+10,  -0.35475838E+08,   0.00000000E+00,  -0.25590482E+09,   0.00000000E+00,   0.00000000E+00,   0.33807451E-10,
 20661.000,   1,  0.82524189E+10,   0.00000000E+00,  -0.74853006E+10,  -0.36286291E+08,   0.00000000E+00,  -0.26504964E+09,   0.00000000E+00,   0.00000000E+00,  -0.55064485E-10,
 20675.000,   1,  0.83271055E+10,   0.00000000E+00,  -0.75997914E+10,  -0.37089830E+08,   0.00000000E+00,  -0.27437157E+09,   0.00000000E+00,   0.00000000E+00,  -0.27451018E-09,
 20689.000,   1,  0.83874162E+10,   0.00000000E+00,  -0.77074579E+10,  -0.37888166E+08,   0.00000000E+00,  -0.28401209E+09,   0.00000000E+00,   0.00000000E+00,  -0.38833711E-09,
 20703.000,   1,  0.84496754E+10,   0.00000000E+00,  -0.78050533E+10,  -0.38638976E+08,   0.00000000E+00,  -0.29351257E+09,   0.00000000E+00,   0.00000000E+00,  -0.26883002E-09,
 20717.000,   1,  0.85154382E+10,   0.00000000E+00,  -0.78845203E+10,  -0.39304224E+08,   0.00000000E+00,  -0.30217289E+09,   0.00000000E+00,   0.00000000E+00,  -0.28253602E-09,
 20731.000,   1,  0.85751816E+10,   0.00000000E+00,  -0.79595087E+10,  -0.39925456E+08,   0.00000000E+00,  -0.31083377E+09,   0.00000000E+00,   0.00000000E+00,  -0.29161953E-09,
 20745.000,   1,  0.86128371E+10,   0.00000000E+00,  -0.80180544E+10,  -0.40385111E+08,   0.00000000E+00,  -0.31680930E+09,   0.00000000E+00,   0.00000000E+00,  -0.56146066E-09,
 20759.000,   1,  0.86506858E+10,   0.00000000E+00,  -0.80805826E+10,  -0.40831789E+08,   0.00000000E+00,  -0.32278462E+09,   0.00000000E+00,   0.00000000E+00,  -0.67860676E-09,
 20773.000,   1,  0.86917747E+10,   0.00000000E+00,  -0.82095091E+10,  -0.41062473E+08,   0.00000000E+00,  -0.32448300E+09,   0.00000000E+00,   0.00000000E+00,  -0.12167421E-08,
 20787.000,   1,  0.87331179E+10,   0.00000000E+00,  -0.83421020E+10,  -0.41280058E+08,   0.00000000E+00,  -0.32501522E+09,   0.00000000E+00,   0.00000000E+00,  -0.67495805E-08,
 20801.000,   1,  0.87828757E+10,   0.00000000E+00,  -0.84294528E+10,  -0.41477196E+08,   0.00000000E+00,  -0.32561744E+09,   0.00000000E+00,   0.00000000E+00,   0.17968623E-07,
 20815.000,   1,  0.88341149E+10,   0.00000000E+00,  -0.85088397E+10,  -0.41670733E+08,   0.00000000E+00,  -0.32625854E+09,   0.00000000E+00,   0.00000000E+00,   0.73327508E-08,
 20829.000,   1,  0.89119721E+10,   0.00000000E+00,  -0.85690256E+10,  -0.41864269E+08,   0.00000000E+00,  -0.32673890E+09,   0.00000000E+00,   0.00000000E+00,   0.13114567E-07,
 20843.000,   1,  0.90046155E+10,   0.00000000E+00,  -0.86185467E+10,  -0.42057805E+08,   0.00000000E+00,  -0.32700501E+09,   0.00000000E+00,   0.00000000E+00,  -0.23397105E-07,
 20857.000,   1,  0.91186181E+10,   0.00000000E+00,  -0.87076813E+10,  -0.42215050E+08,   0.00000000E+00,  -0.32730742E+09,   0.00000000E+00,   0.00000000E+00,  -0.11686184E-07,
 20871.000,   1,  0.92610970E+10,   0.00000000E+00,  -0.88496281E+10,  -0.42323914E+08,   0.00000000E+00,  -0.32774287E+09,   0.00000000E+00,   0.00000000E+00,  -0.12980433E-07,
 20885.000,   1,  0.94202619E+10,   0.00000000E+00,  -0.89628570E+10,  -0.42474251E+08,   0.00000000E+00,  -0.32828980E+09,   0.00000000E+00,   0.00000000E+00,  -0.59690108E-08,
 20899.000,   1,  0.96016783E+10,   0.00000000E+00,  -0.90378040E+10,  -0.42679883E+08,   0.00000000E+00,  -0.32924539E+09,   0.00000000E+00,   0.00000000E+00,  -0.28629793E-08,
 20913.000,   1,  0.97760519E+10,   0.00000000E+00,  -0.91101123E+10,  -0.42898479E+08,   0.00000000E+00,  -0.33020108E+09,   0.00000000E+00,   0.00000000E+00,  -0.15336787E-08,
 20927.000,   1,  0.99246021E+10,   0.00000000E+00,  -0.91727451E+10,  -0.43164589E+08,   0.00000000E+00,  -0.33295895E+09,   0.00000000E+00,   0.00000000E+00,  -0.97795777E-09,
 20941.000,   1,  0.10083715E+11,   0.00000000E+00,  -0.92498920E+10,  -0.43444524E+08,   0.00000000E+00,  -0.33571680E+09,   0.00000000E+00,   0.00000000E+00,  -0.73347715E-09,
 20955.000,   1,  0.10340530E+11,   0.00000000E+00,  -0.94612797E+10,  -0.43852326E+08,   0.00000000E+00,  -0.34186506E+09,   0.00000000E+00,   0.00000000E+00,  -0.82297513E-09,
 20969.000,   1,  0.10599211E+11,   0.00000000E+00,  -0.96761432E+10,  -0.44264971E+08,   0.00000000E+00,  -0.34857854E+09,   0.00000000E+00,   0.00000000E+00,  -0.83384145E-09,
 20983.000,   1,  0.10746407E+11,   0.00000000E+00,  -0.98681026E+10,  -0.44871844E+08,   0.00000000E+00,  -0.35531494E+09,   0.00000000E+00,   0.00000000E+00,  -0.10330421E-08,
 20997.000,   1,  0.10873986E+11,   0.00000000E+00,  -0.10056042E+11,  -0.45512943E+08,   0.00000000E+00,  -0.36206463E+09,   0.00000000E+00,   0.00000000E+00,  -0.11627334E-08,
 21011.000,   1,  0.10945643E+11,   0.00000000E+00,  -0.10192318E+11,  -0.46274995E+08,   0.00000000E+00,  -0.36871138E+09,   0.00000000E+00,   0.00000000E+00,  -0.83608431E-09,
 21025.000,   1,  0.10994935E+11,   0.00000000E+00,  -0.10307934E+11,  -0.47085447E+08,   0.00000000E+00,  -0.37525548E+09,   0.00000000E+00,   0.00000000E+00,  -0.98291806E-09,
 21039.000,   1,  0.11051436E+11,   0.00000000E+00,  -0.10414856E+11,  -0.47889830E+08,   0.00000000E+00,  -0.38239743E+09,   0.00000000E+00,   0.00000000E+00,  -0.13719965E-08,
 21053.000,   1,  0.11115145E+11,   0.00000000E+00,  -0.10513086E+11,  -0.48688154E+08,   0.00000000E+00,  -0.39103385E+09,   0.00000000E+00,   0.00000000E+00,  -0.13331887E-08,
 21067.000,   1,  0.11173991E+11,   0.00000000E+00,  -0.10606387E+11,  -0.49448457E+08,   0.00000000E+00,  -0.39928213E+09,   0.00000000E+00,   0.00000000E+00,  -0.94448253E-09,
 21081.000,   1,  0.11220681E+11,   0.00000000E+00,  -0.10687371E+11,  -0.50113742E+08,   0.00000000E+00,  -0.40248759E+09,   0.00000000E+00,   0.00000000E+00,  -0.24193566E-08,
 21095.000,   1,  0.11267954E+11,   0.00000000E+00,  -0.10764940E+11,  -0.50748429E+08,   0.00000000E+00,  -0.40569308E+09,   0.00000000E+00,   0.00000000E+00,  -0.50177902E-08,
 21109.000,   1,  0.11318528E+11,   0.00000000E+00,  -0.10823112E+11,  -0.51209297E+08,   0.00000000E+00,  -0.40933656E+09,   0.00000000E+00,   0.00000000E+00,  -0.25576525E-08,
 21123.000,   1,  0.11369299E+11,   0.00000000E+00,  -0.10881220E+11,  -0.51663177E+08,   0.00000000E+00,  -0.41301370E+09,   0.00000000E+00,   0.00000000E+00,  -0.19268620E-08,
 21137.000,   1,  0.11426507E+11,   0.00000000E+00,  -0.10941993E+11,  -0.51903944E+08,   0.00000000E+00,  -0.41559356E+09,   0.00000000E+00,   0.00000000E+00,  -0.79650275E-08,
 21151.000,   1,  0.11484411E+11,   0.00000000E+00,  -0.11003054E+11,  -0.52121672E+08,   0.00000000E+00,  -0.41773456E+09,   0.00000000E+00,   0.00000000E+00,  -0.19906458E-07,
 21165.000,   1,  0.11573859E+11,   0.00000000E+00,  -0.11081536E+11,  -0.52320394E+08,   0.00000000E+00,  -0.41888018E+09,   0.00000000E+00,   0.00000000E+00,  -0.14529186E-07,
 21179.000,   1,  0.11671909E+11,   0.00000000E+00,  -0.11164768E+11,  -0.52513929E+08,   0.00000000E+00,  -0.41927934E+09,   0.00000000E+00,   0.00000000E+00,  -0.10140596E-07,
