Folsom Temperature Profiles (2001-2021) - All Sites,,,
JDAY,Depth,Temp,Seg
857.51,33.53,9.11,63
857.51,35.23,9.06,63
857.51,36.82,8.94,63
857.51,38.25,8.89,63
857.51,39.81,8.83,63
857.51,41.12,8.78,63
857.51,42.64,8.72,63
857.51,44.2,8.61,63
857.51,44.47,8.61,63
874.5,0.09,19.11,63
874.5,1.65,18.56,63
874.5,3.05,18.11,63
874.5,4.66,17.89,63
874.5,6.25,16.67,63
874.5,7.71,16,63
874.5,9.2,15.17,63
874.5,10.88,14.5,63
874.5,12.22,14.28,63
874.5,13.56,13.72,63
874.5,15.33,13.39,63
874.5,16.82,12.72,63
874.5,18.35,12.33,63
874.5,19.93,11.89,63
874.5,21.28,11.5,63
874.51,23.04,11.06,63
874.51,24.38,10.83,63
874.51,26.09,10.5,63
874.51,27.49,10.28,63
874.51,29.08,10.11,63
874.51,30.6,9.94,63
874.51,32.03,9.72,63
874.51,33.68,9.61,63
874.51,35.17,9.5,63
874.51,36.61,9.39,63
874.51,38.13,9.33,63
874.51,39.81,9.11,63
874.51,41.15,9.11,63
874.51,42.67,9,63
874.51,44.32,8.89,63
874.51,45.84,8.83,63
874.51,46.36,8.83,63
907.5,0,25.11,63
907.5,1.62,24.67,63
907.5,3.11,24.06,63
907.5,4.54,23.67,63
907.5,6.19,22.5,63
907.5,7.68,21.44,63
907.5,9.17,20.06,63
907.5,10.76,19.22,63
907.5,12.19,18.44,63
907.5,13.81,17.22,63
907.5,15.27,15.67,63
907.5,16.89,14.39,63
907.5,18.32,13.78,63
907.5,19.78,13.11,63
907.5,21.46,12.61,63
907.51,22.83,12.17,63
907.51,24.41,11.83,63
907.51,26.06,11.44,63
907.51,27.4,11.22,63
907.51,29.17,10.94,63
907.51,30.54,10.72,63
907.51,31.97,10.61,63
907.51,33.56,10.44,63
907.51,35.27,10.22,63
907.51,36.85,10.06,63
907.51,38.34,10,63
907.51,39.59,10,63
907.51,41.3,9.78,63
907.51,42.7,9.72,63
907.51,44.32,9.56,63
907.51,45.63,9.33,63
923.5,0.03,27.22,63
923.5,1.52,26.67,63
923.5,3.05,25.28,63
923.5,4.57,24.72,63
923.5,6.07,24.56,63
923.5,7.8,23.83,63
923.5,9.11,22.72,63
923.5,10.67,21.17,63
923.5,12.19,19.83,63
923.5,13.81,18.28,63
923.5,15.24,16.72,63
923.5,16.89,15.33,63
923.5,18.32,14.5,63
923.5,19.84,13.72,63
923.5,21.37,13.11,63
923.51,22.86,12.89,63
923.51,24.44,12.28,63
923.51,25.91,12,63
923.51,27.58,11.72,63
923.51,28.99,11.39,63
923.51,30.51,11.28,63
923.51,32.06,11,63
923.51,33.62,10.83,63
923.51,34.96,10.56,63
923.51,36.64,10.33,63
