 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
  7715.000,   1,  0.64768111E+11,   0.00000000E+00,  -0.66115942E+11,  -0.18043592E+09,  -0.95720965E+09,   0.20192836E+09,   0.19918171E+10,   0.00000000E+00,  -0.50786076E-08,
  7729.000,   1,  0.64839180E+11,   0.00000000E+00,  -0.66151208E+11,  -0.18156810E+09,  -0.95786874E+09,   0.20950947E+09,   0.20005167E+10,   0.00000000E+00,  -0.57029476E-08,
  7743.000,   1,  0.64886446E+11,   0.00000000E+00,  -0.66203368E+11,  -0.18233634E+09,  -0.95860479E+09,   0.20611899E+09,   0.20075747E+10,   0.00000000E+00,  -0.52689911E-08,
  7757.000,   1,  0.64953049E+11,   0.00000000E+00,  -0.66264715E+11,  -0.18233634E+09,  -0.95936628E+09,   0.20960539E+09,   0.20161745E+10,   0.00000000E+00,  -0.47368073E-08,
  7771.000,   1,  0.65017431E+11,   0.00000000E+00,  -0.66326095E+11,  -0.18233634E+09,  -0.96045500E+09,   0.21263388E+09,   0.20220499E+10,   0.00000000E+00,  -0.67761452E-08,
  7785.000,   1,  0.65078347E+11,   0.00000000E+00,  -0.66402401E+11,  -0.18261672E+09,  -0.96188130E+09,   0.21632003E+09,   0.20226673E+10,   0.00000000E+00,  -0.68077390E-08,
  7799.000,   1,  0.65133051E+11,   0.00000000E+00,  -0.66445576E+11,  -0.18318010E+09,  -0.96356484E+09,   0.22234888E+09,   0.20230340E+10,   0.00000000E+00,  -0.67871085E-08,
  7813.000,   1,  0.65177383E+11,   0.00000000E+00,  -0.66487260E+11,  -0.18381642E+09,  -0.96580528E+09,   0.22427990E+09,   0.20234285E+10,   0.00000000E+00,  -0.59339987E-08,
  7827.000,   1,  0.65213049E+11,   0.00000000E+00,  -0.66533051E+11,  -0.18445368E+09,  -0.96774621E+09,   0.22288246E+09,   0.20239775E+10,   0.00000000E+00,  -0.57745633E-08,
  7841.000,   1,  0.65242577E+11,   0.00000000E+00,  -0.66603248E+11,  -0.18527764E+09,  -0.97013553E+09,   0.22101883E+09,   0.20243927E+10,   0.00000000E+00,  -0.46784200E-08,
  7855.000,   1,  0.65270048E+11,   0.00000000E+00,  -0.66673960E+11,  -0.18616739E+09,  -0.97234326E+09,   0.21743840E+09,   0.20249115E+10,   0.00000000E+00,  -0.57013986E-08,
  7869.000,   1,  0.65297879E+11,   0.00000000E+00,  -0.66721801E+11,  -0.18709618E+09,  -0.97461263E+09,   0.21341043E+09,   0.20254528E+10,   0.00000000E+00,  -0.67473564E-08,
  7883.000,   1,  0.65326436E+11,   0.00000000E+00,  -0.66768453E+11,  -0.18808469E+09,  -0.97678304E+09,   0.21261065E+09,   0.20257971E+10,   0.00000000E+00,  -0.68668213E-08,
  7897.000,   1,  0.65351848E+11,   0.00000000E+00,  -0.66811470E+11,  -0.18910015E+09,  -0.97869847E+09,   0.22137619E+09,   0.20262144E+10,   0.00000000E+00,  -0.59771793E-08,
  7911.000,   1,  0.65388492E+11,   0.00000000E+00,  -0.66849091E+11,  -0.19005612E+09,  -0.98034662E+09,   0.22134779E+09,   0.20265613E+10,   0.00000000E+00,  -0.74031011E-08,
  7925.000,   1,  0.65423860E+11,   0.00000000E+00,  -0.66878205E+11,  -0.19088948E+09,  -0.98196672E+09,   0.22001265E+09,   0.20269337E+10,   0.00000000E+00,  -0.84412734E-08,
  7939.000,   1,  0.65454678E+11,   0.00000000E+00,  -0.66901775E+11,  -0.19166428E+09,  -0.98342625E+09,   0.21027209E+09,   0.20272491E+10,   0.00000000E+00,  -0.68025060E-08,
  7953.000,   1,  0.65480119E+11,   0.00000000E+00,  -0.66924289E+11,  -0.19239867E+09,  -0.98484258E+09,   0.19951797E+09,   0.20274715E+10,   0.00000000E+00,  -0.71845361E-08,
  7967.000,   1,  0.65517798E+11,   0.00000000E+00,  -0.66946046E+11,  -0.19294031E+09,  -0.98608291E+09,   0.17675030E+09,   0.20274715E+10,   0.00000000E+00,  -0.62931456E-08,
  7981.000,   1,  0.65636943E+11,   0.00000000E+00,  -0.66964024E+11,  -0.19303508E+09,  -0.98662868E+09,   0.21036807E+09,   0.20274715E+10,   0.00000000E+00,  -0.10414029E-07,
  7995.000,   1,  0.65687982E+11,   0.00000000E+00,  -0.66985054E+11,  -0.19306929E+09,  -0.98710052E+09,   0.20279972E+09,   0.20274715E+10,   0.00000000E+00,  -0.11613671E-07,
  8009.000,   1,  0.65742505E+11,   0.00000000E+00,  -0.67006072E+11,  -0.19306929E+09,  -0.98764649E+09,   0.19414528E+09,   0.20274715E+10,   0.00000000E+00,  -0.12683812E-07,
  8023.000,   1,  0.65838802E+11,   0.00000000E+00,  -0.67025205E+11,  -0.19314117E+09,  -0.98829439E+09,   0.18792384E+09,   0.20274715E+10,   0.00000000E+00,  -0.16733827E-07,
