JDAY,Fl Wt Ave Temp,,Flow Weighted Average - Water Temperature below Folsom Reservoir (JDAY1 = 1/1/2000)
1296,15.34,,
1297,15.42,,
1298,15.53,,
1299,15.51,,
1300,15.69,,
1301,15.77,,
1302,15.99,,
1303,15.99,,
1304,16.05,,
1305,16.37,,
1306,16.44,,
1307,16.51,,
1308,16.57,,
1309,16.66,,
1310,16.96,,
1311,16.91,,
1312,16.99,,
1313,17.27,,
1314,16.58,,
1315,16.44,,
1316,16.87,,
1317,17.04,,
1318,17.12,,
1319,14.34,,
1320,13.81,,
1321,13.85,,
1322,13.97,,
1323,13.92,,
1324,14.09,,
1325,14.28,,
1326,14.30,,
1327,14.23,,
1328,14.30,,
1329,14.48,,
1330,14.39,,
1331,14.59,,
1332,14.77,,
1333,14.83,,
1334,14.88,,
1335,14.92,,
1336,15.03,,
1337,15.08,,
1338,15.21,,
1339,15.31,,
1340,15.31,,
1341,15.57,,
1342,15.43,,
1343,15.40,,
1344,15.40,,
1345,15.40,,
1346,15.40,,
1347,15.40,,
1348,15.50,,
1349,15.55,,
1350,15.75,,
1351,15.66,,
1352,15.56,,
1353,15.78,,
1354,15.85,,
1355,15.82,,
1356,16.19,,
1357,15.89,,
1358,15.98,,
1359,16.22,,
1360,16.21,,
1361,16.26,,
1362,16.23,,
1363,16.16,,
1364,16.43,,
1365,16.36,,
1366,16.55,,
1367,16.29,,
1368,16.55,,
1369,16.44,,
1370,16.50,,
1371,16.57,,
1372,16.79,,
1373,16.76,,
1374,16.68,,
1375,16.69,,
1376,16.83,,
1377,17.02,,
1378,17.31,,
1379,17.43,,
1380,17.31,,
1381,17.61,,
1382,17.37,,
1383,17.35,,
1384,17.43,,
1385,17.32,,
1386,17.38,,
1387,17.35,,
1388,17.41,,
1389,17.41,,
1390,17.45,,
1391,17.45,,
1392,17.64,,
1393,17.56,,
1394,17.61,,
1395,17.52,,
1396,17.66,,
1397,17.61,,
1398,17.43,,
1399,17.45,,
1400,17.35,,
1401,17.14,,
1402,16.98,,
1403,16.69,,
1404,14.67,,
1405,14.63,,
1406,14.83,,
1407,15.00,,
1408,14.39,,
1409,14.70,,
1410,14.84,,
1411,14.72,,
1412,14.84,,
1413,14.76,,
1414,14.33,,
1415,14.56,,
1416,14.48,,
1417,14.27,,
1418,14.45,,
1419,14.49,,
1420,14.39,,
1421,14.34,,
1422,14.38,,
1423,14.05,,
1424,13.98,,
1425,13.84,,
1426,13.71,,
1427,13.56,,
1428,13.39,,
1429,13.44,,
1430,13.24,,
1431,13.15,,
1432,13.15,,
1433,13.11,,
1434,13.09,,
1435,12.92,,
1436,12.84,,
1437,13.03,,
1438,13.01,,
1439,12.84,,
1440,12.67,,
1441,12.74,,
1442,12.52,,
1443,12.29,,
1444,12.24,,
1445,12.13,,
1446,11.94,,
1447,11.66,,
1448,11.55,,
1449,11.36,,
1450,11.40,,
1451,11.24,,
1452,11.23,,
1453,11.05,,
1454,11.05,,
1455,11.04,,
1456,10.96,,
1457,10.91,,
1458,10.64,,
1459,10.56,,
1460,10.56,,
1461,10.42,,
1462,10.28,,
1463,10.21,,
1464,10.13,,
1465,10.00,,
1466,9.67,,
1467,9.54,,
1468,9.47,,
1469,9.43,,
