$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35,
  0.3048,     0.000,    74.890,    90.880,    45.593,    42.058,    30.354,    68.778,    83.152,    89.868,    96.880,    88.246,   101.661,   218.107,   241.970,   238.060,   255.627,   224.649,   325.319,   152.333,   285.422,   259.900,   274.233,   283.245,   322.084,   327.762,   610.450,   307.497,   361.517,   400.495,   562.698,   562.444,   621.513,   358.569,   350.426,     0.000, 34
  0.3048,     0.000,    65.616,    84.361,    45.593,    42.058,    26.554,    68.778,    76.646,    83.422,    90.558,    88.246,   101.661,   190.402,   237.372,   238.060,   255.627,   224.649,   321.772,   150.646,   281.270,   255.445,   274.233,   279.832,   299.299,   293.314,   591.124,   307.497,   346.819,   386.247,   523.611,   492.591,   621.513,   351.636,   350.426,     0.000, 35
  0.3048,     0.000,    65.616,    78.902,    39.612,    42.058,    26.193,    68.778,    76.646,    83.422,    90.558,    88.246,   101.661,   166.141,   228.462,   238.060,   255.627,   224.649,   315.287,   150.646,   277.568,   255.445,   274.233,   279.832,   292.139,   255.495,   579.119,   292.679,   317.173,   353.988,   501.531,   411.770,   611.253,   339.942,   350.426,     0.000, 36
  0.3048,     0.000,    65.616,    62.887,    34.061,    42.058,    25.973,    68.778,    76.646,    83.422,    90.558,    88.246,   101.661,   153.221,   206.022,   214.365,   250.718,   224.213,   282.839,   150.646,   267.325,   255.445,   274.233,   279.832,   274.032,   243.721,   574.265,   290.225,   314.515,   343.139,   473.758,   384.763,   606.129,   337.093,   350.426,     0.000, 37
  0.3048,     0.000,    65.387,    61.425,    33.270,    42.058,    25.369,    61.693,    76.377,    83.130,    90.241,    81.629,   101.661,   149.659,   193.222,   190.841,   237.305,   219.001,   268.630,   145.189,   253.377,   254.551,   273.372,   273.991,   263.314,   238.056,   560.918,   283.480,   299.526,   335.164,   451.257,   360.481,   592.042,   329.258,   344.599,     0.000, 38
  0.3048,     0.000,    48.113,    60.070,    26.944,    33.955,    24.810,    60.332,    74.693,    81.296,    81.412,    73.466,    93.064,   146.358,   188.960,   186.631,   232.070,   214.170,   262.704,   141.986,   240.224,   236.239,   267.342,   260.394,   255.610,   232.805,   548.544,   277.226,   277.897,   327.770,   441.302,   345.133,   578.981,   314.545,   330.539,     0.000, 39
  0.3048,     0.000,    32.732,    41.430,    23.597,    33.344,    24.364,    51.841,    73.349,    72.577,    79.948,    72.145,    91.390,   143.726,   185.562,   179.174,   227.897,   210.319,   243.317,   139.433,   228.476,   229.657,   262.535,   255.711,   243.669,   228.619,   538.680,   264.883,   265.524,   321.876,   418.628,   331.561,   568.570,   308.889,   324.595,     0.000, 40
  0.3048,     0.000,    24.986,    33.437,    23.144,    23.551,    19.062,    43.583,    64.757,    60.300,    71.332,    63.771,    89.637,   136.206,   182.002,   175.737,   223.525,   199.038,   231.459,   136.758,   216.808,   225.251,   257.498,   250.806,   238.995,   216.899,   524.720,   259.802,   255.246,   315.702,   403.369,   317.976,   557.663,   302.964,   318.368,     0.000, 41
  0.3048,     0.000,    24.272,    25.488,    22.483,    22.878,    18.517,    42.338,    62.907,    57.710,    69.294,    61.949,    87.076,   130.086,   175.384,   170.715,   217.138,   193.351,   217.860,   132.851,   203.536,   218.815,   250.141,   243.640,   232.166,   210.702,   495.635,   252.046,   247.953,   301.938,   391.844,   301.872,   538.209,   294.307,   309.272,     0.000, 42
  0.3048,     0.000,    22.379,    18.066,    21.963,    22.348,    18.088,    41.358,    61.451,    56.374,    67.690,    56.713,    78.424,   125.659,   171.324,   166.764,   204.228,   188.876,   205.992,   129.775,   191.911,   206.856,   244.351,   238.000,   226.792,   200.512,   470.396,   246.212,   235.348,   288.069,   375.915,   294.884,   518.872,   287.495,   299.285,     0.000, 43
